pacote,total,php,blade,migrations,seeders,commands
PATCH_VENDEDORIA_PRO_NEWS_1_0,26,15,0,0,0,0
COMMERCIAL_TO_FACTORY_PIPELINE_1_0,9,6,0,0,0,2
SITE_TO_FACTORY_API_1_0,8,5,0,0,0,1
SITE_LARAVEL_CONTRATAR_TO_FACTORY_1_0,6,3,1,0,0,0
COMMERCIAL_FACTORY_STATUS_FIX_1_0,5,2,0,0,0,1
SITE_COMMERCIAL_FORM_TO_FACTORY_1_0,4,1,0,0,0,0
